"name","param","est","se","N","bic","rr","rr_low","rr_high"
"Negative 
 Binomial","(Intercept)",-4.92725622005831,0.0228924410876645,70632,329715.703890027,-99.2753641557231,-99.3071593292765,-99.2421098688353
"Negative 
 Binomial","pm25Exp_10ug",0.0173055138165256,0.00350007182153053,70632,329715.703890027,1.74561217489671,1.0500116394234,2.44600103346964
"Negative 
 Binomial","landTemp",-0.0127762946838719,0.000397679296805564,70632,329715.703890027,-1.26950243105478,-1.34642807395838,-1.19251680497551
"Negative 
 Binomial","year_quarter2002-2",-0.0289756143098587,0.015484688562472,70632,329715.703890027,-2.85598465836601,-5.76001298697688,0.137532015910807
"Negative 
 Binomial","year_quarter2002-3",0.0932808908538852,0.0167879739498965,70632,329715.703890027,9.7770045530747,6.22363628150737,13.4492392701469
"Negative 
 Binomial","year_quarter2002-4",0.105271094383316,0.0183132293668341,70632,329715.703890027,11.1011758581614,7.18403934151937,15.1614676298608
"Negative 
 Binomial","year_quarter2003-1",0.0122655376901575,0.0175823702098177,70632,329715.703890027,1.23410678878366,-2.19513911883988,4.78358933279732
"Negative 
 Binomial","year_quarter2003-2",-0.0360242054820128,0.0162156876660562,70632,329715.703890027,-3.53830558175579,-6.55591531187383,-0.423247537882077
"Negative 
 Binomial","year_quarter2003-3",0.116394931627321,0.0155916870225312,70632,329715.703890027,12.343946630943,8.96267703299472,15.8301419190939
"Negative 
 Binomial","year_quarter2003-4",0.096754644705996,0.0157195546244011,70632,329715.703890027,10.1590059507945,6.81672374396854,13.6058677586279
"Negative 
 Binomial","year_quarter2004-1",-0.0100344354098361,0.015816586567238,70632,329715.703890027,-0.998425843562273,-4.02044107734457,2.11874065133983
"Negative 
 Binomial","year_quarter2004-2",0.0577595660336974,0.0242361762224047,70632,329715.703890027,5.94602348585269,1.03094404754596,11.1002178419958
"Negative 
 Binomial","year_quarter2004-3",0.0769147032952617,0.0246291616939559,70632,329715.703890027,7.99499562913317,2.9055659624656,13.3361346575801
"Negative 
 Binomial","year_quarter2004-4",0.0570453376167837,0.0235769703729908,70632,329715.703890027,5.87038084149873,1.08933811618508,10.8775440456605
