"var","param","est","se","mean_MR","N","bic","mean_pm25","mean_temp"
"Full Sample","(Intercept)",-4.69027558580927,0.0210055897599262,5.77733924125593,70632,329715.703890025,22.2246129899972,24.2483817418139
"Full Sample","pm25Exp_10ug",0.0173055138165262,0.0035000718215293,5.77733924125593,70632,329715.703890025,22.2246129899972,24.2483817418139
"Full Sample","landTemp",-0.0127762946838715,0.000397679296805515,5.77733924125593,70632,329715.703890025,22.2246129899972,24.2483817418139
"Full Sample","year_quarter2002-2",-0.0289756143098589,0.0154846885624725,5.77733924125593,70632,329715.703890025,22.2246129899972,24.2483817418139
"Full Sample","year_quarter2002-3",0.0932808908538862,0.016787973949896,5.77733924125593,70632,329715.703890025,22.2246129899972,24.2483817418139
"Full Sample","year_quarter2002-4",0.105271094383306,0.0183132293668343,5.77733924125593,70632,329715.703890025,22.2246129899972,24.2483817418139
"Full Sample","year_quarter2003-1",0.012265537690142,0.0175823702098182,5.77733924125593,70632,329715.703890025,22.2246129899972,24.2483817418139
"Full Sample","year_quarter2003-2",-0.0360242054820149,0.0162156876660573,5.77733924125593,70632,329715.703890025,22.2246129899972,24.2483817418139
"Full Sample","year_quarter2003-3",0.116394931627324,0.015591687022531,5.77733924125593,70632,329715.703890025,22.2246129899972,24.2483817418139
"Full Sample","year_quarter2003-4",0.0967546447059828,0.0157195546244014,5.77733924125593,70632,329715.703890025,22.2246129899972,24.2483817418139
"Full Sample","year_quarter2004-1",-0.010034435409845,0.0158165865672383,5.77733924125593,70632,329715.703890025,22.2246129899972,24.2483817418139
"Full Sample","year_quarter2004-2",0.057759566033687,0.0242361762224021,5.77733924125593,70632,329715.703890025,22.2246129899972,24.2483817418139
"Full Sample","year_quarter2004-3",0.0769147032952523,0.0246291616939524,5.77733924125593,70632,329715.703890025,22.2246129899972,24.2483817418139
"Full Sample","year_quarter2004-4",0.0570453376167786,0.0235769703729883,5.77733924125593,70632,329715.703890025,22.2246129899972,24.2483817418139
"Full Sample","year_quarter2005-1",-0.0224777041705314,0.0155167956799504,5.77733924125593,70632,329715.703890025,22.2246129899972,24.2483817418139
"Full Sample","year_quarter2005-2",-0.0293526207001216,0.0156609384208899,5.77733924125593,70632,329715.703890025,22.2246129899972,24.2483817418139
"Full Sample","year_quarter2005-3",0.0502315869427611,0.0169362821572819,5.77733924125593,70632,329715.703890025,22.2246129899972,24.2483817418139
"Full Sample","year_quarter2005-4",0.0470786581445056,0.0178286646004619,5.77733924125593,70632,329715.703890025,22.2246129899972,24.2483817418139
"Full Sample","year_quarter2006-1",-0.0625970005775022,0.0179585034485091,5.77733924125593,70632,329715.703890025,22.2246129899972,24.2483817418139
"Full Sample","year_quarter2006-2",-0.122206726894292,0.0169587904326098,5.77733924125593,70632,329715.703890025,22.2246129899972,24.2483817418139
"Full Sample","year_quarter2006-3",0.0092115913264995,0.0173615647182007,5.77733924125593,70632,329715.703890025,22.2246129899972,24.2483817418139
"Full Sample","year_quarter2006-4",0.035800488481623,0.0166122634428315,5.77733924125593,70632,329715.703890025,22.2246129899972,24.2483817418139
"Full Sample","year_quarter2007-1",-0.0735842887043662,0.0177635857833976,5.77733924125593,70632,329715.703890025,22.2246129899972,24.2483817418139
"Full Sample","year_quarter2007-2",-0.00733879028745657,0.0181219315630008,5.77733924125593,70632,329715.703890025,22.2246129899972,24.2483817418139
"Full Sample","year_quarter2007-3",0.0944062392986133,0.0170812767124367,5.77733924125593,70632,329715.703890025,22.2246129899972,24.2483817418139
"Full Sample","year_quarter2007-4",0.0493020518453911,0.0185894176553132,5.77733924125593,70632,329715.703890025,22.2246129899972,24.2483817418139
"Full Sample","year_quarter2008-1",-0.0556171987074467,0.0169452505241958,5.77733924125593,70632,329715.703890025,22.2246129899972,24.2483817418139
"Full Sample","year_quarter2008-2",-0.134020456258916,0.0172382637911079,5.77733924125593,70632,329715.703890025,22.2246129899972,24.2483817418139
"Full Sample","year_quarter2008-3",-0.0476864446929839,0.0180799238490898,5.77733924125593,70632,329715.703890025,22.2246129899972,24.2483817418139
"Full Sample","year_quarter2008-4",0.000797675832676526,0.0183855966912579,5.77733924125593,70632,329715.703890025,22.2246129899972,24.2483817418139
"Full Sample","year_quarter2009-1",-0.0739939925788403,0.0178926822174952,5.77733924125593,70632,329715.703890025,22.2246129899972,24.2483817418139
"Full Sample","year_quarter2009-2",-0.131424740662071,0.0191242278779342,5.77733924125593,70632,329715.703890025,22.2246129899972,24.2483817418139
"Full Sample","year_quarter2009-3",-0.059303900236609,0.0186237473848171,5.77733924125593,70632,329715.703890025,22.2246129899972,24.2483817418139
"Full Sample","year_quarter2009-4",0.0222749604997664,0.0184432896070312,5.77733924125593,70632,329715.703890025,22.2246129899972,24.2483817418139
"Full Sample","year_quarter2010-1",-0.055123759761908,0.0185172024306009,5.77733924125593,70632,329715.703890025,22.2246129899972,24.2483817418139
"Full Sample","year_quarter2010-2",-0.116918781188114,0.0178184550919925,5.77733924125593,70632,329715.703890025,22.2246129899972,24.2483817418139
"Full Sample","year_quarter2010-3",0.0884570809992551,0.0190694424690795,5.77733924125593,70632,329715.703890025,22.2246129899972,24.2483817418139
"Full Sample","year_quarter2010-4",0.0493742357715206,0.0177568525761155,5.77733924125593,70632,329715.703890025,22.2246129899972,24.2483817418139
"Full Sample","year_quarter2011-1",-0.115968928928041,0.0186013135810261,5.77733924125593,70632,329715.703890025,22.2246129899972,24.2483817418139
"Full Sample","year_quarter2011-2",-0.153472012961214,0.0201246336492029,5.77733924125593,70632,329715.703890025,22.2246129899972,24.2483817418139
