"var","param","est","se","mean_MR","N","bic","mean_pm25","mean_temp"
"Full Sample","(Intercept)",-5.29037351885695,0.0168401368376058,3.32101281215411,71712,357979.558171001,22.17546737079,24.274447222948
"Full Sample","pm25Exp_10ug",0.0173830870209677,0.00296275939124991,3.32101281215411,71712,357979.558171001,22.17546737079,24.274447222948
"Full Sample","landTemp",-0.0116894123569966,0.000320170648786642,3.32101281215411,71712,357979.558171001,22.17546737079,24.274447222948
"Full Sample","year_quarter2002-2",-0.0475668816162658,0.0129728330266557,3.32101281215411,71712,357979.558171001,22.17546737079,24.274447222948
"Full Sample","year_quarter2002-3",0.0555404544551066,0.0134316894709631,3.32101281215411,71712,357979.558171001,22.17546737079,24.274447222948
"Full Sample","year_quarter2002-4",0.0810807937108103,0.014446452818584,3.32101281215411,71712,357979.558171001,22.17546737079,24.274447222948
"Full Sample","year_quarter2003-1",0.000714545324066665,0.0138339217742089,3.32101281215411,71712,357979.558171001,22.17546737079,24.274447222948
"Full Sample","year_quarter2003-2",-0.0384605637675366,0.0124885955206117,3.32101281215411,71712,357979.558171001,22.17546737079,24.274447222948
"Full Sample","year_quarter2003-3",0.0929512705998159,0.0128966182118339,3.32101281215411,71712,357979.558171001,22.17546737079,24.274447222948
"Full Sample","year_quarter2003-4",0.0704595086062901,0.0123636876494378,3.32101281215411,71712,357979.558171001,22.17546737079,24.274447222948
"Full Sample","year_quarter2004-1",0.0102191940969752,0.0133305099278158,3.32101281215411,71712,357979.558171001,22.17546737079,24.274447222948
"Full Sample","year_quarter2004-2",0.0498786960462894,0.0227991704210659,3.32101281215411,71712,357979.558171001,22.17546737079,24.274447222948
"Full Sample","year_quarter2004-3",0.0660020055961765,0.0224586957991558,3.32101281215411,71712,357979.558171001,22.17546737079,24.274447222948
"Full Sample","year_quarter2004-4",0.0492354482700358,0.0216116708783284,3.32101281215411,71712,357979.558171001,22.17546737079,24.274447222948
"Full Sample","year_quarter2005-1",-0.00637799669570937,0.0133398634861086,3.32101281215411,71712,357979.558171001,22.17546737079,24.274447222948
"Full Sample","year_quarter2005-2",-0.010677874875008,0.0133617627862643,3.32101281215411,71712,357979.558171001,22.17546737079,24.274447222948
"Full Sample","year_quarter2005-3",0.0533883135936231,0.0145552507660937,3.32101281215411,71712,357979.558171001,22.17546737079,24.274447222948
"Full Sample","year_quarter2005-4",0.0477872282364711,0.0141718127525147,3.32101281215411,71712,357979.558171001,22.17546737079,24.274447222948
"Full Sample","year_quarter2006-1",-0.0291927245477655,0.0149660935557844,3.32101281215411,71712,357979.558171001,22.17546737079,24.274447222948
"Full Sample","year_quarter2006-2",-0.0939788288071432,0.0150164916429434,3.32101281215411,71712,357979.558171001,22.17546737079,24.274447222948
"Full Sample","year_quarter2006-3",0.0232506281726086,0.0147189632262388,3.32101281215411,71712,357979.558171001,22.17546737079,24.274447222948
"Full Sample","year_quarter2006-4",0.0523848024469443,0.0142004933322235,3.32101281215411,71712,357979.558171001,22.17546737079,24.274447222948
"Full Sample","year_quarter2007-1",-0.0363299608961033,0.0156479482507777,3.32101281215411,71712,357979.558171001,22.17546737079,24.274447222948
"Full Sample","year_quarter2007-2",0.010860117042714,0.0153050257294949,3.32101281215411,71712,357979.558171001,22.17546737079,24.274447222948
"Full Sample","year_quarter2007-3",0.103020107974186,0.0147202513629309,3.32101281215411,71712,357979.558171001,22.17546737079,24.274447222948
"Full Sample","year_quarter2007-4",0.077343780717781,0.0152947903658946,3.32101281215411,71712,357979.558171001,22.17546737079,24.274447222948
"Full Sample","year_quarter2008-1",-0.0149848705808765,0.0151531775544964,3.32101281215411,71712,357979.558171001,22.17546737079,24.274447222948
"Full Sample","year_quarter2008-2",-0.0883066725251154,0.0145320716658986,3.32101281215411,71712,357979.558171001,22.17546737079,24.274447222948
"Full Sample","year_quarter2008-3",-0.0105311591097042,0.0153432196320539,3.32101281215411,71712,357979.558171001,22.17546737079,24.274447222948
"Full Sample","year_quarter2008-4",0.0314003186214176,0.0157351761212785,3.32101281215411,71712,357979.558171001,22.17546737079,24.274447222948
"Full Sample","year_quarter2009-1",-0.0377123921604612,0.0141910547038591,3.32101281215411,71712,357979.558171001,22.17546737079,24.274447222948
"Full Sample","year_quarter2009-2",-0.0917321013704394,0.0156066653439457,3.32101281215411,71712,357979.558171001,22.17546737079,24.274447222948
"Full Sample","year_quarter2009-3",-0.0210489733543903,0.0148632069460175,3.32101281215411,71712,357979.558171001,22.17546737079,24.274447222948
"Full Sample","year_quarter2009-4",0.0441787706504049,0.0154283499451577,3.32101281215411,71712,357979.558171001,22.17546737079,24.274447222948
"Full Sample","year_quarter2010-1",-0.023200857001222,0.0160620292528518,3.32101281215411,71712,357979.558171001,22.17546737079,24.274447222948
"Full Sample","year_quarter2010-2",-0.0821590420637288,0.0155693663679227,3.32101281215411,71712,357979.558171001,22.17546737079,24.274447222948
"Full Sample","year_quarter2010-3",0.10558885304628,0.0153419677582128,3.32101281215411,71712,357979.558171001,22.17546737079,24.274447222948
"Full Sample","year_quarter2010-4",0.0753484602461733,0.0154921782138078,3.32101281215411,71712,357979.558171001,22.17546737079,24.274447222948
"Full Sample","year_quarter2011-1",-0.0751933791601591,0.0161296865839055,3.32101281215411,71712,357979.558171001,22.17546737079,24.274447222948
"Full Sample","year_quarter2011-2",-0.110445117651439,0.0171916808019068,3.32101281215411,71712,357979.558171001,22.17546737079,24.274447222948
"Full Sample","year_quarter2011-3",-0.0189046719086413,0.0151624712701136,3.32101281215411,71712,357979.558171001,22.17546737079,24.274447222948
