"codigo_region"	"Year"	"Quarter"	"Birth_count"	"deathsum"	"mortality"
7	2019	4	2976	6	2.01612903225806
8	2015	1	5504	7	1.2718023255814
8	2015	2	5213	7	1.3427968540188
8	2015	3	5294	6	1.1333585190782
8	2015	4	5012	9	1.79569034317638
8	2016	1	5123	8	1.56158500878392
8	2016	2	4902	5	1.01999184006528
8	2016	3	4956	8	1.61420500403551
8	2016	4	4602	7	1.52107779226423
8	2017	1	4775	7	1.46596858638743
8	2017	2	4492	10	2.22617987533393
8	2017	3	4553	10	2.19635405227323
8	2017	4	4355	10	2.29621125143513
8	2018	1	4359	5	1.14705207616426
8	2018	2	4450	3	0.674157303370786
8	2018	3	4518	4	0.885347498893316
8	2018	4	4325	6	1.38728323699422
8	2019	1	4421	7	1.58335218276408
8	2019	2	4248	5	1.17702448210923
8	2019	3	4247	9	2.11914292441724
8	2019	4	4190	4	0.954653937947494
9	2015	1	3485	6	1.72166427546628
9	2015	2	3257	6	1.84218606079214
9	2015	3	3356	5	1.48986889153754
9	2015	4	3226	3	0.929944203347799
9	2016	1	3136	2	0.637755102040816
9	2016	2	3101	7	2.25733634311512
9	2016	3	3169	2	0.631113916061849
9	2016	4	3128	2	0.639386189258312
9	2017	1	3073	5	1.62707452001302
9	2017	2	2977	5	1.67954316425932
9	2017	3	2997	3	1.001001001001
9	2017	4	2958	3	1.01419878296146
9	2018	1	2902	5	1.72294968986906
9	2018	2	2924	5	1.70998632010944
9	2018	3	2984	3	1.00536193029491
9	2018	4	2962	6	2.02565833896016
9	2019	1	2981	2	0.670915800067092
9	2019	2	2891	5	1.72950536146662
9	2019	3	2747	6	2.18420094648708
9	2019	4	2683	3	1.11815132314573
10	2015	1	2809	3	1.06799572801709
10	2015	2	2713	4	1.47438260228529
10	2015	3	2888	2	0.692520775623269
10	2015	4	2748	2	0.727802037845706
10	2016	1	2799	5	1.78635226866738
10	2016	2	2587	1	0.386548125241593
10	2016	3	2759	7	2.53715114171801
10	2016	4	2642	4	1.51400454201363
10	2017	1	2497	5	2.00240288346015
10	2017	2	2550	5	1.96078431372549
10	2017	3	2497	4	1.60192230676812
10	2017	4	2502	4	1.59872102318145
10	2018	1	2362	3	1.2701100762066
10	2018	2	2461	4	1.6253555465258
10	2018	3	2557	6	2.34649980445835
10	2018	4	2541	1	0.393545848091303
10	2019	1	2425	8	3.29896907216495
10	2019	2	2412	8	3.3167495854063
10	2019	3	2402	5	2.08159866777685
10	2019	4	2335	2	0.856531049250535
11	2015	1	332	0	0
11	2015	2	366	0	0
11	2015	3	352	0	0
11	2015	4	363	0	0
11	2016	1	357	0	0
11	2016	2	366	1	2.73224043715847
11	2016	3	318	1	3.14465408805031
11	2016	4	367	1	2.72479564032698
11	2017	1	293	0	0
11	2017	2	286	0	0
11	2017	3	314	1	3.18471337579618
11	2017	4	322	1	3.1055900621118
11	2018	1	294	0	0
11	2018	2	331	0	0
11	2018	3	329	0	0
11	2018	4	304	1	3.28947368421053
11	2019	1	276	2	7.2463768115942
11	2019	2	302	0	0
11	2019	3	290	0	0
