"codigo_comuna","income_mean","perc_occupancy","perc_less_highschool","perc_FFAA","perc_fonasa_A","perc_fonasa_B","perc_fonasa_C","perc_fonasa_D","perc_isapre","perc_woodCooking","perc_woodHeating","perc_woodWarmWater"
"13116",3859.89176775838,54.6152587015074,45.7044077517229,0.423598369638833,38.9673558349444,25.1092859165856,12.9616175547045,11.1440850152077,5.08194904505658,2.25993901386572,0.859559288878661,1.48898222196652
"13117",4404.50487474198,57.1395072536268,35.6082900256715,0.527198658039779,20.1457994374866,35.0460983515583,13.885000063062,7.12853305081539,9.64470846418707,0,0,0
"13118",5743.3256961382,53.1697135454153,29.2107830307645,5.14704102626165,12.8790996006293,25.8719593368026,6.45891322764129,11.1230787849449,22.1275565775142,0,0.85051791314264,0.194811365580158
"13119",5767.13032282347,55.1372103319083,29.8772421584786,1.59729826757903,11.3540052425443,21.6073648186668,14.3885833043183,15.4205851949537,23.6754276931181,0.0976745430704595,0.894680974426218,0.108111001097166
"13120",15721.0642506778,63.6411983690835,19.0449619226507,3.02314895504888,5.22317113748356,13.0408949027934,5.01877584649755,9.23660735506156,55.0124380080174,0,1.17257802123529,0.385095998931162
"13121",4455.08704287526,55.6104216750049,37.0836073819012,6.33784177231942,20.985415949816,31.6005399539451,7.83330245361425,11.8472247955321,12.3964426563617,2.30182965947291,2.1555595473325,1.62565115861326
"13122",7871.27280406414,57.1334123431639,38.2925220873324,2.04657328300423,22.317509840849,25.5207365077312,10.650344732822,11.4133641558693,19.5612638317478,0.114851485148515,1.32158415841584,1.40118811881188
"13123",22333.6980409855,65.7093132917854,15.3308343511772,1.6077361177029,1.66028205302054,7.18947047257441,3.58498881280087,6.9555563089023,70.507322530341,0.2676474796529,0.526878371895331,0.397262925774116
"13124",4494.87819555448,57.0355485581704,36.4705647814039,1.50189206810101,19.1058549929762,22.4890609561833,17.3488866036201,13.7956297595763,13.3426088359244,0.532716689470563,0,0
"13125",5011.43215739331,58.3085223393765,36.8152946588902,0.374069027308532,20.7608310156235,29.0896533701678,17.1687230507905,11.4830231646538,15.6575140462546,1.13418814834602,0.166585043705386,1.36607156107624
"13126",4655.01331084918,62.0313847215037,37.1343485617597,0.298305459266113,16.6843900620089,26.4911820353823,12.212570260603,11.1229267080059,17.0959411122927,0,0,0
"13127",5629.99643943735,54.3187754002553,34.6907157339046,3.30933325683907,26.5788894944685,26.6802443991853,13.6159796525248,9.52736104338181,9.38106575638488,0.72928155782908,0.792986726505153,0.63134674628228
"13128",4544.03100911654,57.262715760438,45.2217245425847,0.949623238231932,21.6202007727163,30.4622111701728,12.7798593088946,12.3000408888741,11.8427530729241,0.778876474801782,1.25641173419399,0.671842709765596
"13129",4393.95582165697,54.1977664821149,35.5066783971847,0.946468881006127,20.1709126088359,37.313769751693,14.5436955820703,9.20509513060303,8.72460496613995,0.461441213653603,1.71776232616941,0
"13130",7611.33289708501,55.5441071570104,31.1089900768509,2.18522026687937,15.7202918058394,29.2769662827991,10.663542549479,8.67607225351879,28.4759958123536,0.390014316981256,0,0
