"codigo_comuna";"year";"month";"Mortality_Count";"pop75";"mortality";"codigo_region";"codigo_provincia";"pop_pm25";"total_pop";"pm25_exposure";"pm25Exp_10ug";"quarter";"region";"commune";"quarter_text"
1101;"2015";"1";30;6687;4.48631673396142;1;11;3639790.93109207;184663;19.710450556376;1.9710450556376;"1";"1";"1101";"Summer"
1101;"2015";"2";38;6687;5.6826678630178;1;11;2991203.74839607;184663;16.1981758576221;1.61981758576221;"1";"1";"1101";"Summer"
1101;"2015";"3";46;6687;6.87901899207417;1;11;3235196.65707202;184663;17.5194633308893;1.75194633308893;"1";"1";"1101";"Summer"
1101;"2015";"4";43;6687;6.43038731867803;1;11;3669263.35520139;184663;19.8700516898425;1.98700516898425;"2";"1";"1101";"Fall"
1101;"2015";"5";32;6687;4.78540451622551;1;11;3713463.92854084;184663;20.1094097276706;2.01094097276706;"2";"1";"1101";"Fall"
1101;"2015";"6";36;6687;5.3835800807537;1;11;4203328.9275733;184663;22.7621609503436;2.27621609503436;"2";"1";"1101";"Fall"
1101;"2015";"7";43;6687;6.43038731867803;1;11;3470855.72433022;184663;18.7956208029233;1.87956208029233;"3";"1";"1101";"Winter"
1101;"2015";"8";48;6687;7.17810677433827;1;11;4762428.84088757;184663;25.789837925776;2.5789837925776;"3";"1";"1101";"Winter"
1101;"2015";"9";35;6687;5.23403618962165;1;11;4135042.54496381;184663;22.3923717526727;2.23923717526727;"3";"1";"1101";"Winter"
1101;"2015";"10";28;6687;4.18722895169732;1;11;3042376.04197351;184663;16.475287642752;1.6475287642752;"4";"1";"1101";"Spring"
1101;"2015";"11";44;6687;6.57993120981008;1;11;3031292.79951821;184663;16.4152688926217;1.64152688926217;"4";"1";"1101";"Spring"
1101;"2015";"12";39;6687;5.83221175414984;1;11;3452442.00495081;184663;18.6959055411794;1.86959055411794;"4";"1";"1101";"Spring"
1101;"2016";"1";31;6687;4.63586062509347;1;11;2997346.56210364;184663;16.2314408522749;1.62314408522749;"1";"1";"1101";"Summer"
1101;"2016";"2";31;6687;4.63586062509347;1;11;2905264.22720618;184663;15.7327901485743;1.57327901485743;"1";"1";"1101";"Summer"
1101;"2016";"3";39;6687;5.83221175414984;1;11;2878225.59116869;184663;15.5863686345868;1.55863686345868;"1";"1";"1101";"Summer"
1101;"2016";"4";42;6687;6.28084342754599;1;11;3379670.46382963;184663;18.3018279992724;1.83018279992724;"2";"1";"1101";"Fall"
1101;"2016";"5";51;6687;7.62673844773441;1;11;3499035.38862827;184663;18.9482212929946;1.89482212929946;"2";"1";"1101";"Fall"
1101;"2016";"6";44;6687;6.57993120981008;1;11;4702503.09093377;184663;25.465323811125;2.5465323811125;"2";"1";"1101";"Fall"
1101;"2016";"7";46;6687;6.87901899207417;1;11;3573244.24101612;184663;19.3500822634535;1.93500822634535;"3";"1";"1101";"Winter"
