CODIGO_COMUNA_RESIDENCIA,Year,Quarter,Mortality_Count
3102,2018,4,12
3102,2019,1,8
3102,2019,2,4
3102,2019,3,17
3102,2019,4,8
3103,2015,1,5
3103,2015,2,7
3103,2015,3,9
3103,2015,4,6
3103,2016,1,4
3103,2016,2,11
3103,2016,3,6
3103,2016,4,4
3103,2017,1,1
3103,2017,2,6
3103,2017,3,2
3103,2017,4,4
3103,2018,1,8
3103,2018,2,7
3103,2018,3,8
3103,2018,4,11
3103,2019,1,4
3103,2019,2,5
3103,2019,3,8
3103,2019,4,5
3201,2015,1,14
3201,2015,2,12
3201,2015,3,11
3201,2015,4,12
3201,2016,1,8
3201,2016,2,9
3201,2016,3,9
3201,2016,4,8
3201,2017,1,6
3201,2017,2,8
3201,2017,3,14
3201,2017,4,10
3201,2018,1,12
3201,2018,2,7
3201,2018,3,14
3201,2018,4,15
3201,2019,1,12
3201,2019,2,11
3201,2019,3,2
3201,2019,4,10
3202,2015,1,6
3202,2015,2,5
3202,2015,3,12
3202,2015,4,8
3202,2016,1,2
3202,2016,2,8
3202,2016,3,6
3202,2016,4,6
3202,2017,1,3
3202,2017,2,3
3202,2017,3,10
3202,2017,4,5
3202,2018,1,5
3202,2018,2,8
3202,2018,3,5
3202,2018,4,2
3202,2019,1,8
3202,2019,2,5
3202,2019,3,6
3202,2019,4,8
3301,2015,1,43
3301,2015,2,50
3301,2015,3,55
3301,2015,4,52
3301,2016,1,42
3301,2016,2,41
3301,2016,3,44
3301,2016,4,51
3301,2017,1,36
3301,2017,2,45
3301,2017,3,63
3301,2017,4,62
3301,2018,1,25
3301,2018,2,47
3301,2018,3,46
3301,2018,4,43
3301,2019,1,33
3301,2019,2,48
3301,2019,3,51
3301,2019,4,39
3302,2015,1,2
3302,2015,2,4
3302,2015,3,3
3302,2015,4,6
3302,2016,1,4
3302,2016,2,5
3302,2016,3,3
3302,2016,4,4
3302,2017,1,2
3302,2017,2,6
3302,2017,3,9
3302,2017,4,3
3302,2018,1,3
3302,2018,2,7
3302,2018,3,7
3302,2018,4,5
3302,2019,1,5
3302,2019,2,3
3302,2019,3,10
3302,2019,4,4
3303,2015,1,2
3303,2015,2,4
3303,2015,3,7
3303,2015,4,3
3303,2016,1,1
3303,2016,2,9
3303,2016,3,3
3303,2016,4,5
3303,2017,1,6
3303,2017,2,5
3303,2017,3,6
3303,2017,4,11
3303,2018,1,4
3303,2018,2,6
3303,2018,3,7
3303,2018,4,4
3303,2019,1,6
3303,2019,2,4
3303,2019,3,4
3303,2019,4,9
3304,2015,1,5
3304,2015,2,4
3304,2015,3,9
3304,2015,4,6
3304,2016,1,7
3304,2016,2,6
3304,2016,3,8
3304,2016,4,14
3304,2017,1,3
3304,2017,2,8
3304,2017,3,11
3304,2017,4,8
3304,2018,1,4
3304,2018,2,6
3304,2018,3,14
3304,2018,4,12
3304,2019,1,4
3304,2019,2,4
3304,2019,3,11
3304,2019,4,7
4101,2015,1,126
4101,2015,2,143
4101,2015,3,170
4101,2015,4,134
4101,2016,1,152
4101,2016,2,136
4101,2016,3,167
4101,2016,4,163
4101,2017,1,139
4101,2017,2,146
4101,2017,3,212
4101,2017,4,158
4101,2018,1,131
4101,2018,2,196
4101,2018,3,202
4101,2018,4,149
4101,2019,1,129
4101,2019,2,176
4101,2019,3,178
4101,2019,4,160
4102,2015,1,139
4102,2015,2,115
4102,2015,3,152
4102,2015,4,120
4102,2016,1,132
4102,2016,2,133
4102,2016,3,167
4102,2016,4,141
4102,2017,1,133
4102,2017,2,141
4102,2017,3,200
4102,2017,4,165
4102,2018,1,156
4102,2018,2,166
4102,2018,3,197
4102,2018,4,138
4102,2019,1,164
4102,2019,2,200
4102,2019,3,185
4102,2019,4,165
4103,2015,1,12
4103,2015,2,5
4103,2015,3,17
4103,2015,4,4
4103,2016,1,6
4103,2016,2,12
4103,2016,3,6
4103,2016,4,10
4103,2017,1,12
4103,2017,2,12
4103,2017,3,13
4103,2017,4,9
4103,2018,1,9
4103,2018,2,10
4103,2018,3,16
4103,2018,4,4
4103,2019,1,9
4103,2019,2,11
4103,2019,3,9
4103,2019,4,8
4104,2015,1,1
4104,2015,2,2
4104,2015,3,3
4104,2015,4,4
4104,2016,1,1
4104,2016,2,5
4104,2016,3,3
4104,2016,4,3
4104,2017,1,1
4104,2017,2,1
4104,2017,3,2
4104,2017,4,1
4104,2018,1,1
4104,2018,2,2
4104,2018,3,1
4104,2018,4,1
4104,2019,2,3
4104,2019,3,2
4104,2019,4,2
4105,2015,1,6
4105,2015,2,3
4105,2015,3,2
4105,2015,4,3
4105,2016,1,3
4105,2016,2,2
4105,2016,3,1
4105,2016,4,2
4105,2017,1,8
4105,2017,2,2
4105,2017,3,4
4105,2017,4,9
4105,2018,1,3
4105,2018,2,4
4105,2018,3,4
4105,2018,4,5
4105,2019,1,6
4105,2019,2,4
4105,2019,3,3
4105,2019,4,7
4106,2015,1,16
4106,2015,2,16
4106,2015,3,26
4106,2015,4,24
4106,2016,1,19
4106,2016,2,25
4106,2016,3,38
4106,2016,4,19
4106,2017,1,16
4106,2017,2,19
4106,2017,3,30
4106,2017,4,25
4106,2018,1,19
4106,2018,2,30
4106,2018,3,27
4106,2018,4,24
4106,2019,1,21
4106,2019,2,22
4106,2019,3,28
4106,2019,4,21
4201,2015,1,23
4201,2015,2,31
4201,2015,3,26
4201,2015,4,22
4201,2016,1,22
4201,2016,2,29
4201,2016,3,36
4201,2016,4,39
4201,2017,1,18
4201,2017,2,21
4201,2017,3,38
4201,2017,4,32
4201,2018,1,21
4201,2018,2,39
4201,2018,3,36
4201,2018,4,24
4201,2019,1,25
4201,2019,2,29
4201,2019,3,42
4201,2019,4,30
4202,2015,1,8
4202,2015,2,10
4202,2015,3,10
4202,2015,4,6
4202,2016,1,6
4202,2016,2,13
4202,2016,3,9
4202,2016,4,18
4202,2017,1,8
4202,2017,2,14
4202,2017,3,13
4202,2017,4,8
4202,2018,1,12
4202,2018,2,10
4202,2018,3,11
4202,2018,4,14
4202,2019,1,9
4202,2019,2,12
4202,2019,3,15
4202,2019,4,10
4203,2015,1,10
4203,2015,2,17
4203,2015,3,19
4203,2015,4,16
4203,2016,1,15
4203,2016,2,13
4203,2016,3,18
4203,2016,4,13
4203,2017,1,21
4203,2017,2,17
4203,2017,3,24
4203,2017,4,18
4203,2018,1,13
4203,2018,2,17
4203,2018,3,11
4203,2018,4,12
4203,2019,1,11
4203,2019,2,22
4203,2019,3,25
4203,2019,4,18
4204,2015,1,11
4204,2015,2,20
4204,2015,3,25
4204,2015,4,21
4204,2016,1,17
4204,2016,2,25
4204,2016,3,39
4204,2016,4,21
4204,2017,1,17
4204,2017,2,28
4204,2017,3,20
4204,2017,4,20
4204,2018,1,28
4204,2018,2,21
4204,2018,3,23
4204,2018,4,16
4204,2019,1,25
4204,2019,2,37
4204,2019,3,26
4204,2019,4,28
4301,2015,1,71
4301,2015,2,82
4301,2015,3,91
4301,2015,4,92
4301,2016,1,63
4301,2016,2,87
4301,2016,3,103
4301,2016,4,99
4301,2017,1,78
4301,2017,2,112
4301,2017,3,127
4301,2017,4,109
4301,2018,1,95
4301,2018,2,101
4301,2018,3,135
4301,2018,4,85
4301,2019,1,94
4301,2019,2,86
4301,2019,3,108
4301,2019,4,101
4302,2015,1,10
4302,2015,2,17
4302,2015,3,22
4302,2015,4,15
4302,2016,1,15
4302,2016,2,23
4302,2016,3,22
4302,2016,4,24
4302,2017,1,12
4302,2017,2,19
4302,2017,3,27
4302,2017,4,12
4302,2018,1,20
4302,2018,2,19
4302,2018,3,21
4302,2018,4,16
4302,2019,1,12
4302,2019,2,23
4302,2019,3,23
4302,2019,4,19
4303,2015,1,25
4303,2015,2,28
4303,2015,3,35
4303,2015,4,30
4303,2016,1,17
4303,2016,2,22
4303,2016,3,40
4303,2016,4,26
4303,2017,1,20
4303,2017,2,19
4303,2017,3,29
4303,2017,4,24
4303,2018,1,31
4303,2018,2,17
4303,2018,3,33
4303,2018,4,22
4303,2019,1,27
4303,2019,2,28
4303,2019,3,19
4303,2019,4,24
4304,2015,1,7
4304,2015,2,7
4304,2015,3,18
4304,2015,4,7
4304,2016,1,6
4304,2016,2,8
4304,2016,3,11
4304,2016,4,8
4304,2017,1,10
4304,2017,2,9
4304,2017,3,12
4304,2017,4,4
4304,2018,1,7
4304,2018,2,15
4304,2018,3,11
4304,2018,4,9
4304,2019,1,8
4304,2019,2,14
4304,2019,3,8
4304,2019,4,7
4305,2015,1,6
4305,2015,2,9
4305,2015,3,4
4305,2015,4,4
4305,2016,1,4
4305,2016,2,7
4305,2016,3,5
4305,2016,4,6
4305,2017,1,5
4305,2017,2,9
4305,2017,3,5
4305,2017,4,10
4305,2018,1,6
4305,2018,2,7
4305,2018,3,5
4305,2018,4,3
4305,2019,1,3
4305,2019,2,8
