CODIGO_COMUNA_RESIDENCIA,Year,Quarter,Gender,Mortality_Count
1101,2010.0,2,Hombre,54
1101,2010.0,2,Mujer,50
1101,2010.0,3,Hombre,55
1101,2010.0,3,Mujer,74
1101,2010.0,4,Hombre,46
1101,2010.0,4,Mujer,67
1101,2011.0,1,Hombre,34
1101,2011.0,1,Mujer,58
1101,2011.0,2,Hombre,39
1101,2011.0,2,Mujer,67
1101,2011.0,3,Hombre,56
1101,2011.0,3,Mujer,73
1101,2011.0,4,Hombre,59
1101,2011.0,4,Mujer,55
1101,2012.0,1,Hombre,49
1101,2012.0,1,Mujer,76
1101,2012.0,2,Hombre,46
1101,2012.0,2,Mujer,66
1101,2012.0,3,Hombre,65
1101,2012.0,3,Mujer,60
1101,2012.0,4,Hombre,40
1101,2012.0,4,Mujer,59
1101,2013.0,1,Hombre,41
1101,2013.0,1,Mujer,63
1101,2013.0,2,Hombre,56
1101,2013.0,2,Mujer,74
1101,2013.0,3,Hombre,64
1101,2013.0,3,Mujer,59
1101,2013.0,4,Hombre,50
1101,2013.0,4,Mujer,71
1101,2014.0,1,Hombre,35
1101,2014.0,1,Mujer,64
1101,2014.0,2,Hombre,47
1101,2014.0,2,Mujer,65
1101,2014.0,3,Hombre,67
1101,2014.0,3,Mujer,75
1101,2014.0,4,Hombre,46
1101,2014.0,4,Mujer,60
1101,2015.0,1,Hombre,43
1101,2015.0,1,Mujer,71
1101,2015.0,2,Hombre,51
1101,2015.0,2,Mujer,60
1101,2015.0,3,Hombre,62
1101,2015.0,3,Mujer,64
1101,2015.0,4,Hombre,42
1101,2015.0,4,Mujer,69
1101,2016.0,1,Hombre,42
1101,2016.0,1,Mujer,59
1101,2016.0,2,Hombre,58
1101,2016.0,2,Mujer,79
1101,2016.0,3,Hombre,58
1101,2016.0,3,Mujer,69
1101,2016.0,4,Hombre,49
1101,2016.0,4,Mujer,75
1101,2017.0,1,Hombre,46
1101,2017.0,1,Mujer,71
1101,2017.0,2,Hombre,49
1101,2017.0,2,Mujer,80
1101,2017.0,3,Hombre,51
1101,2017.0,3,Mujer,73
1101,2017.0,4,Hombre,51
1101,2017.0,4,Mujer,70
1101,2018.0,1,Hombre,42
1101,2018.0,1,Mujer,55
1101,2018.0,2,Hombre,50
1101,2018.0,2,Mujer,68
1101,2018.0,3,Hombre,50
1101,2018.0,3,Mujer,86
1101,2018.0,4,Hombre,43
1101,2018.0,4,Mujer,55
1101,2019.0,1,Hombre,49
1101,2019.0,1,Mujer,67
1101,2019.0,2,Hombre,71
1101,2019.0,2,Mujer,73
1101,2019.0,3,Hombre,54
1101,2019.0,3,Mujer,76
1101,2019.0,4,Hombre,45
1101,2019.0,4,Mujer,60
1107,2005.0,1,Hombre,4
1107,2005.0,1,Mujer,3
1107,2005.0,2,Hombre,3
1107,2005.0,2,Mujer,3
1107,2005.0,3,Hombre,4
1107,2005.0,3,Mujer,8
1107,2005.0,4,Hombre,3
1107,2005.0,4,Mujer,2
1107,2006.0,1,Hombre,6
1107,2006.0,1,Mujer,6
1107,2006.0,2,Hombre,5
1107,2006.0,2,Mujer,6
1107,2006.0,3,Hombre,2
1107,2006.0,3,Mujer,2
1107,2006.0,4,Hombre,6
1107,2006.0,4,Mujer,3
1107,2007.0,1,Hombre,10
1107,2007.0,1,Mujer,4
1107,2007.0,2,Hombre,4
1107,2007.0,2,Mujer,4
1107,2007.0,3,Hombre,7
1107,2007.0,3,Mujer,5
1107,2007.0,4,Hombre,6
1107,2007.0,4,Mujer,7
1107,2008.0,1,Hombre,6
1107,2008.0,1,Mujer,6
1107,2008.0,2,Hombre,6
1107,2008.0,2,Mujer,8
1107,2008.0,3,Hombre,8
1107,2008.0,3,Mujer,4
1107,2008.0,4,Hombre,5
1107,2008.0,4,Mujer,3
1107,2009.0,1,Hombre,3
1107,2009.0,1,Mujer,9
1107,2009.0,2,Hombre,7
1107,2009.0,2,Mujer,6
1107,2009.0,3,Hombre,7
1107,2009.0,3,Mujer,5
1107,2009.0,4,Hombre,7
1107,2009.0,4,Mujer,4
1107,2010.0,1,Hombre,6
1107,2010.0,1,Mujer,7
1107,2010.0,2,Hombre,5
1107,2010.0,2,Mujer,8
1107,2010.0,3,Hombre,7
1107,2010.0,3,Mujer,12
1107,2010.0,4,Hombre,10
1107,2010.0,4,Mujer,10
1107,2011.0,1,Hombre,3
1107,2011.0,1,Mujer,9
1107,2011.0,2,Hombre,8
1107,2011.0,2,Mujer,9
1107,2011.0,3,Hombre,11
1107,2011.0,3,Mujer,2
1107,2011.0,4,Hombre,7
1107,2011.0,4,Mujer,9
1107,2012.0,1,Hombre,2
1107,2012.0,1,Mujer,8
1107,2012.0,2,Mujer,9
1107,2012.0,3,Hombre,12
1107,2012.0,3,Mujer,11
1107,2012.0,4,Hombre,10
1107,2012.0,4,Mujer,10
1107,2013.0,1,Hombre,7
1107,2013.0,1,Mujer,11
1107,2013.0,2,Hombre,8
1107,2013.0,2,Mujer,11
1107,2013.0,3,Hombre,19
1107,2013.0,3,Mujer,16
1107,2013.0,4,Hombre,4
1107,2013.0,4,Mujer,15
1107,2014.0,1,Hombre,9
1107,2014.0,1,Mujer,11
1107,2014.0,2,Hombre,8
1107,2014.0,2,Mujer,4
1107,2014.0,3,Hombre,7
1107,2014.0,3,Mujer,11
1107,2014.0,4,Hombre,13
1107,2014.0,4,Mujer,12
1107,2015.0,1,Hombre,9
1107,2015.0,1,Mujer,16
1107,2015.0,2,Hombre,4
1107,2015.0,2,Mujer,13
1107,2015.0,3,Hombre,9
1107,2015.0,3,Mujer,13
1107,2015.0,4,Hombre,12
1107,2015.0,4,Mujer,14
1107,2016.0,1,Hombre,7
1107,2016.0,1,Mujer,14
1107,2016.0,2,Hombre,10
1107,2016.0,2,Mujer,11
1107,2016.0,3,Hombre,10
1107,2016.0,3,Mujer,23
1107,2016.0,4,Hombre,11
1107,2016.0,4,Mujer,9
1107,2017.0,1,Hombre,9
1107,2017.0,1,Mujer,14
1107,2017.0,2,Hombre,9
1107,2017.0,2,Mujer,10
1107,2017.0,3,Hombre,8
1107,2017.0,3,Mujer,13
1107,2017.0,4,Hombre,10
1107,2017.0,4,Mujer,14
1107,2018.0,1,Hombre,9
1107,2018.0,1,Mujer,5
1107,2018.0,2,Hombre,6
1107,2018.0,2,Mujer,10
1107,2018.0,3,Hombre,10
1107,2018.0,3,Mujer,13
1107,2018.0,4,Hombre,13
1107,2018.0,4,Mujer,11
1107,2019.0,1,Hombre,15
1107,2019.0,1,Mujer,5
1107,2019.0,2,Hombre,12
1107,2019.0,2,Mujer,12
1107,2019.0,3,Hombre,11
1107,2019.0,3,Mujer,15
1107,2019.0,4,Hombre,12
1107,2019.0,4,Mujer,11
1401,1990.0,1,Hombre,2
1401,1990.0,1,Mujer,2
1401,1990.0,2,Mujer,2
1401,1990.0,4,Hombre,1
1401,1991.0,1,Hombre,2
1401,1991.0,2,Hombre,2
1401,1991.0,3,Hombre,1
1401,1991.0,4,Hombre,1
1401,1992.0,1,Hombre,1
1401,1992.0,2,Mujer,1
1401,1992.0,3,Hombre,3
1401,1992.0,3,Mujer,2
1401,1992.0,4,Hombre,1
1401,1992.0,4,Mujer,2
1401,1993.0,1,Hombre,2
1401,1993.0,2,Hombre,4
1401,1993.0,2,Mujer,2
1401,1993.0,3,Hombre,4
1401,1993.0,3,Mujer,1
1401,1993.0,4,Hombre,1
