"region";"province";"commune";"site";"longitude";"latitude";"year";"month";"pollutant";"value";"n";"completeness"
"I";"Iquique";"Alto Hospicio";"Alto Hospicio";-70.1002241937709;-20.2904990614563;2019;11;"mp2.5";10.3333333333333;30;96.7741935483871
"I";"Iquique";"Alto Hospicio";"Alto Hospicio";-70.1002241937709;-20.2904990614563;2019;12;"mp2.5";8.95833333333333;24;77.4193548387097
"I";"Iquique";"Alto Hospicio";"Alto Hospicio";-70.1002241937709;-20.2904990614563;2020;1;"mp2.5";6.96774193548387;31;100
"I";"Iquique";"Alto Hospicio";"Alto Hospicio";-70.1002241937709;-20.2904990614563;2020;2;"mp2.5";8.10714285714286;28;90.3225806451613
"I";"Iquique";"Alto Hospicio";"Alto Hospicio";-70.1002241937709;-20.2904990614563;2020;3;"mp2.5";7.96296296296296;27;87.0967741935484
"I";"Iquique";"Alto Hospicio";"Alto Hospicio";-70.1002241937709;-20.2904990614563;2020;4;"mp2.5";10.0666666666667;30;96.7741935483871
"I";"Iquique";"Alto Hospicio";"Alto Hospicio";-70.1002241937709;-20.2904990614563;2020;5;"mp2.5";13.7741935483871;31;100
"I";"Iquique";"Alto Hospicio";"Alto Hospicio";-70.1002241937709;-20.2904990614563;2020;6;"mp2.5";10.5666666666667;30;96.7741935483871
"I";"Iquique";"Alto Hospicio";"Alto Hospicio";-70.1002241937709;-20.2904990614563;2020;7;"mp2.5";14.0689655172414;29;93.5483870967742
"I";"Iquique";"Alto Hospicio";"Alto Hospicio";-70.1002241937709;-20.2904990614563;2020;8;"mp2.5";12.2;30;96.7741935483871
"I";"Iquique";"Alto Hospicio";"Alto Hospicio";-70.1002241937709;-20.2904990614563;2020;9;"mp2.5";10.6666666666667;30;96.7741935483871
"I";"Iquique";"Alto Hospicio";"Alto Hospicio";-70.1002241937709;-20.2904990614563;2020;10;"mp2.5";8.64516129032258;31;100
"I";"Iquique";"Alto Hospicio";"Alto Hospicio";-70.1002241937709;-20.2904990614563;2020;11;"mp2.5";9.96666666666667;30;96.7741935483871
"I";"Iquique";"Alto Hospicio";"Alto Hospicio";-70.1002241937709;-20.2904990614563;2020;12;"mp2.5";10.1333333333333;30;96.7741935483871
"I";"Iquique";"Alto Hospicio";"Alto Hospicio";-70.1002241937709;-20.2904990614563;2021;1;"mp2.5";9.13333333333333;30;96.7741935483871
"I";"Iquique";"Alto Hospicio";"Alto Hospicio";-70.1002241937709;-20.2904990614563;2021;2;"mp2.5";9.29166666666667;24;77.4193548387097
"I";"Iquique";"Alto Hospicio";"Alto Hospicio";-70.1002241937709;-20.2904990614563;2021;3;"mp2.5";8.93333333333333;30;96.7741935483871
"I";"Iquique";"Alto Hospicio";"Alto Hospicio";-70.1002241937709;-20.2904990614563;2021;4;"mp2.5";7.22222222222222;27;87.0967741935484
"I";"Iquique";"Alto Hospicio";"Alto Hospicio";-70.1002241937709;-20.2904990614563;2021;8;"mp2.5";13.4642857142857;28;90.3225806451613
"I";"Iquique";"Alto Hospicio";"Alto Hospicio";-70.1002241937709;-20.2904990614563;2021;9;"mp2.5";14.3666666666667;30;96.7741935483871
"I";"Iquique";"Alto Hospicio";"Alto Hospicio";-70.1002241937709;-20.2904990614563;2021;10;"mp2.5";15;31;100
"I";"Iquique";"Alto Hospicio";"Alto Hospicio";-70.1002241937709;-20.2904990614563;2021;11;"mp2.5";14.2666666666667;30;96.7741935483871
"I";"Iquique";"Alto Hospicio";"Alto Hospicio";-70.1002241937709;-20.2904990614563;2021;12;"mp2.5";13.1612903225806;31;100
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2015;1;"mp2.5";7.655397;30;96.7741935483871
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2015;2;"mp2.5";8.03648035714286;28;90.3225806451613
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2015;3;"mp2.5";9.52384310344828;29;93.5483870967742
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2015;4;"mp2.5";11.8807746153846;26;83.8709677419355
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2015;5;"mp2.5";16.0530387096774;31;100
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2015;6;"mp2.5";20.2057571428571;28;90.3225806451613
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2015;7;"mp2.5";14.949244137931;29;93.5483870967742
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2015;8;"mp2.5";15.1295287096774;31;100
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2015;9;"mp2.5";12.8170068965517;29;93.5483870967742
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2015;10;"mp2.5";11.5682703225806;31;100
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2015;11;"mp2.5";8.16332233333333;30;96.7741935483871
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2015;12;"mp2.5";4.3021064516129;31;100
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2016;1;"mp2.5";4.26557888888889;27;87.0967741935484
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2016;2;"mp2.5";8.9074725;28;90.3225806451613
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2016;3;"mp2.5";8.7542864516129;31;100
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2016;4;"mp2.5";8.49299285714286;28;90.3225806451613
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2016;5;"mp2.5";11.3366774193548;31;100
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2016;6;"mp2.5";15.0599016666667;30;96.7741935483871
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2016;7;"mp2.5";12.6423558064516;31;100
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2016;8;"mp2.5";10.8880803571429;28;90.3225806451613
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2016;9;"mp2.5";10.429414;30;96.7741935483871
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2016;10;"mp2.5";6.51532172413793;29;93.5483870967742
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2016;11;"mp2.5";6.03444133333333;30;96.7741935483871
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2016;12;"mp2.5";5.585054;30;96.7741935483871
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2017;1;"mp2.5";6.17364;28;90.3225806451613
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2017;2;"mp2.5";7.4983575;28;90.3225806451613
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2017;3;"mp2.5";8.63779821428571;28;90.3225806451613
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2017;4;"mp2.5";10.0183492307692;26;83.8709677419355
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2017;5;"mp2.5";10.2258064516129;31;100
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2017;6;"mp2.5";13.6071428571429;28;90.3225806451613
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2017;7;"mp2.5";13.0666666666667;30;96.7741935483871
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2017;8;"mp2.5";8.51612903225806;31;100
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2017;9;"mp2.5";7.37931034482759;29;93.5483870967742
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2017;10;"mp2.5";6.35483870967742;31;100
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2017;11;"mp2.5";4.4;30;96.7741935483871
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2017;12;"mp2.5";5.38709677419355;31;100
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2018;1;"mp2.5";5.19354838709677;31;100
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2018;2;"mp2.5";6.32;25;80.6451612903226
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2018;3;"mp2.5";9.7037037037037;27;87.0967741935484
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2018;4;"mp2.5";10.4814814814815;27;87.0967741935484
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2018;5;"mp2.5";11.9;30;96.7741935483871
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2018;6;"mp2.5";14.1851851851852;27;87.0967741935484
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2018;7;"mp2.5";14.6896551724138;29;93.5483870967742
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2018;9;"mp2.5";10.3846153846154;26;83.8709677419355
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2018;10;"mp2.5";7.33333333333333;30;96.7741935483871
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2018;11;"mp2.5";7;28;90.3225806451613
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2018;12;"mp2.5";7.16129032258065;31;100
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2019;1;"mp2.5";6.16129032258065;31;100
"II";"Antofagasta";"Antofagasta";"Antofagasta";-70.3833269141901;-23.6135524278948;2019;2;"mp2.5";5.78571428571429;28;90.3225806451613
