"site";"latitude";"longitude";"pm25_satellite";"year";"month"
"21 de mayo";-37.4711911170902;-72.3614706575401;23.2847427401091;"2015";"01"
"21 de mayo";-37.4711911170902;-72.3614706575401;28.8538699630077;"2015";"02"
"21 de mayo";-37.4711911170902;-72.3614706575401;23.0336264662571;"2015";"03"
"21 de mayo";-37.4711911170902;-72.3614706575401;41.7873532413642;"2015";"04"
"21 de mayo";-37.4711911170902;-72.3614706575401;33.924053190045;"2015";"05"
"21 de mayo";-37.4711911170902;-72.3614706575401;36.5324721708212;"2015";"06"
"21 de mayo";-37.4711911170902;-72.3614706575401;36.5168662275236;"2015";"07"
"21 de mayo";-37.4711911170902;-72.3614706575401;30.8682993827351;"2015";"08"
"21 de mayo";-37.4711911170902;-72.3614706575401;27.7817617495612;"2015";"09"
"21 de mayo";-37.4711911170902;-72.3614706575401;17.3352731663675;"2015";"10"
"21 de mayo";-37.4711911170902;-72.3614706575401;15.688568386382;"2015";"11"
"21 de mayo";-37.4711911170902;-72.3614706575401;15.5007866501298;"2015";"12"
"21 de mayo";-37.4711911170902;-72.3614706575401;17.8789435178815;"2016";"01"
"21 de mayo";-37.4711911170902;-72.3614706575401;18.3911559205927;"2016";"02"
"21 de mayo";-37.4711911170902;-72.3614706575401;24.483332491557;"2016";"03"
"21 de mayo";-37.4711911170902;-72.3614706575401;24.4715526694068;"2016";"04"
"21 de mayo";-37.4711911170902;-72.3614706575401;41.2386715339558;"2016";"05"
"21 de mayo";-37.4711911170902;-72.3614706575401;42.8853216445614;"2016";"06"
"21 de mayo";-37.4711911170902;-72.3614706575401;37.7469642248986;"2016";"07"
"21 de mayo";-37.4711911170902;-72.3614706575401;27.4176269445836;"2016";"08"
"21 de mayo";-37.4711911170902;-72.3614706575401;26.3571162802648;"2016";"09"
"21 de mayo";-37.4711911170902;-72.3614706575401;15.43247181049;"2016";"10"
"21 de mayo";-37.4711911170902;-72.3614706575401;12.0168181889068;"2016";"11"
"21 de mayo";-37.4711911170902;-72.3614706575401;13.7178223106469;"2016";"12"
"21 de mayo";-37.4711911170902;-72.3614706575401;23.0232276113142;"2017";"01"
"21 de mayo";-37.4711911170902;-72.3614706575401;15.0388560156628;"2017";"02"
"21 de mayo";-37.4711911170902;-72.3614706575401;16.6510777386005;"2017";"03"
"21 de mayo";-37.4711911170902;-72.3614706575401;24.0150231055369;"2017";"04"
"21 de mayo";-37.4711911170902;-72.3614706575401;35.6825898091598;"2017";"05"
"21 de mayo";-37.4711911170902;-72.3614706575401;37.9571174796662;"2017";"06"
"21 de mayo";-37.4711911170902;-72.3614706575401;32.8112842673906;"2017";"07"
"21 de mayo";-37.4711911170902;-72.3614706575401;25.2112145637415;"2017";"08"
"21 de mayo";-37.4711911170902;-72.3614706575401;27.6931867193031;"2017";"09"
"21 de mayo";-37.4711911170902;-72.3614706575401;14.035273929307;"2017";"10"
"21 de mayo";-37.4711911170902;-72.3614706575401;9.55672643517161;"2017";"11"
"21 de mayo";-37.4711911170902;-72.3614706575401;12.887387642308;"2017";"12"
"21 de mayo";-37.4711911170902;-72.3614706575401;11.4522933680012;"2018";"01"
"21 de mayo";-37.4711911170902;-72.3614706575401;10.9161846965045;"2018";"02"
"21 de mayo";-37.4711911170902;-72.3614706575401;14.1081947023537;"2018";"03"
"21 de mayo";-37.4711911170902;-72.3614706575401;30.6360700927216;"2018";"04"
"21 de mayo";-37.4711911170902;-72.3614706575401;32.4086166160148;"2018";"05"
"21 de mayo";-37.4711911170902;-72.3614706575401;36.1406735565403;"2018";"06"
"21 de mayo";-37.4711911170902;-72.3614706575401;37.7970062954723;"2018";"07"
"21 de mayo";-37.4711911170902;-72.3614706575401;27.9875537358082;"2018";"08"
"21 de mayo";-37.4711911170902;-72.3614706575401;23.1466994058169;"2018";"09"
"21 de mayo";-37.4711911170902;-72.3614706575401;13.5971982007781;"2018";"10"
"21 de mayo";-37.4711911170902;-72.3614706575401;9.72086750456844;"2018";"11"
"21 de mayo";-37.4711911170902;-72.3614706575401;11.285382387196;"2018";"12"
"21 de mayo";-37.4711911170902;-72.3614706575401;11.0919935932914;"2019";"01"
