"var","param","est","se","mean_MR","N","bic","mean_pm25","mean_temp"
"Full Sample","(Intercept)",-4.7168847392554,0.021142841872275,5.6300496230793,70632,327453.188641541,22.2246129859327,24.2483817189633
"Full Sample","pm25Exp_10ug",0.0172962259571956,0.00357555842517506,5.6300496230793,70632,327453.188641541,22.2246129859327,24.2483817189633
"Full Sample","landTemp",-0.0129400924738356,0.000408385403408557,5.6300496230793,70632,327453.188641541,22.2246129859327,24.2483817189633
"Full Sample","year_quarter2002-2",-0.0319815970574519,0.0153385061755673,5.6300496230793,70632,327453.188641541,22.2246129859327,24.2483817189633
"Full Sample","year_quarter2002-3",0.095050585799702,0.0168268880515085,5.6300496230793,70632,327453.188641541,22.2246129859327,24.2483817189633
"Full Sample","year_quarter2002-4",0.107564485613467,0.0184496918341963,5.6300496230793,70632,327453.188641541,22.2246129859327,24.2483817189633
"Full Sample","year_quarter2003-1",0.0158146694516399,0.0174660647957782,5.6300496230793,70632,327453.188641541,22.2246129859327,24.2483817189633
"Full Sample","year_quarter2003-2",-0.0378482149247982,0.0161799085594281,5.6300496230793,70632,327453.188641541,22.2246129859327,24.2483817189633
"Full Sample","year_quarter2003-3",0.118701866163753,0.0155844998273891,5.6300496230793,70632,327453.188641541,22.2246129859327,24.2483817189633
"Full Sample","year_quarter2003-4",0.0987198350529513,0.0159775342599898,5.6300496230793,70632,327453.188641541,22.2246129859327,24.2483817189633
"Full Sample","year_quarter2004-1",-0.00991294168837991,0.0158812296615577,5.6300496230793,70632,327453.188641541,22.2246129859327,24.2483817189633
"Full Sample","year_quarter2004-2",0.0597662364510027,0.0244675774413134,5.6300496230793,70632,327453.188641541,22.2246129859327,24.2483817189633
"Full Sample","year_quarter2004-3",0.0783047417132951,0.0246664098961376,5.6300496230793,70632,327453.188641541,22.2246129859327,24.2483817189633
"Full Sample","year_quarter2004-4",0.0583122253864065,0.0237903591729827,5.6300496230793,70632,327453.188641541,22.2246129859327,24.2483817189633
"Full Sample","year_quarter2005-1",-0.0214026938840756,0.0158045284163861,5.6300496230793,70632,327453.188641541,22.2246129859327,24.2483817189633
"Full Sample","year_quarter2005-2",-0.0295182388623032,0.015802177142849,5.6300496230793,70632,327453.188641541,22.2246129859327,24.2483817189633
