"region";"province";"commune";"site";"longitude";"latitude";"year";"pollutant";"value";"n";"completeness"
"IV";"Elqui";"Coquimbo";"La Serena";-71.2560113121664;-29.9203957583954;2020;"mp2.5";10.2972222222222;360;98.6301369863014
"IV";"Elqui";"Coquimbo";"La Serena";-71.2560113121664;-29.9203957583954;2021;"mp2.5";11.6166666666667;360;98.6301369863014
"IV";"Elqui";"Coquimbo";"La Serena";-71.2560113121664;-29.9203957583954;2022;"mp2.5";10.8448753462604;361;98.9041095890411
"IX";"Cautín";"Padre las Casas";"Padre Las Casas II";-72.5987915106651;-38.7647297790063;2015;"mp2.5";43.3660504716981;318;87.1232876712329
"IX";"Cautín";"Padre las Casas";"Padre Las Casas II";-72.5987915106651;-38.7647297790063;2016;"mp2.5";49.317584;360;98.6301369863014
"IX";"Cautín";"Padre las Casas";"Padre Las Casas II";-72.5987915106651;-38.7647297790063;2017;"mp2.5";40.7182346666667;360;98.6301369863014
"IX";"Cautín";"Padre las Casas";"Padre Las Casas II";-72.5987915106651;-38.7647297790063;2018;"mp2.5";50.0880681818182;352;96.4383561643836
"IX";"Cautín";"Padre las Casas";"Padre Las Casas II";-72.5987915106651;-38.7647297790063;2019;"mp2.5";37.6440677966102;354;96.986301369863
"IX";"Cautín";"Padre las Casas";"Padre Las Casas II";-72.5987915106651;-38.7647297790063;2020;"mp2.5";36.6408839779006;362;99.1780821917808
"IX";"Cautín";"Padre las Casas";"Padre Las Casas II";-72.5987915106651;-38.7647297790063;2021;"mp2.5";38.0333333333333;360;98.6301369863014
"IX";"Cautín";"Padre las Casas";"Padre Las Casas II";-72.5987915106651;-38.7647297790063;2022;"mp2.5";36.6488764044944;356;97.5342465753425
"IX";"Cautín";"Temuco";"Las Encinas Temuco";-72.620705821348;-38.748716856527;2015;"mp2.5";30.1355198342541;362;99.1780821917808
"IX";"Cautín";"Temuco";"Las Encinas Temuco";-72.620705821348;-38.748716856527;2016;"mp2.5";33.8531792458101;358;98.0821917808219
"IX";"Cautín";"Temuco";"Las Encinas Temuco";-72.620705821348;-38.748716856527;2017;"mp2.5";27.3182510893855;358;98.0821917808219
"IX";"Cautín";"Temuco";"Las Encinas Temuco";-72.620705821348;-38.748716856527;2018;"mp2.5";33.9802816901408;355;97.2602739726027
"IX";"Cautín";"Temuco";"Las Encinas Temuco";-72.620705821348;-38.748716856527;2019;"mp2.5";23.1288515406162;357;97.8082191780822
"IX";"Cautín";"Temuco";"Las Encinas Temuco";-72.620705821348;-38.748716856527;2020;"mp2.5";25.5139664804469;358;98.0821917808219
"IX";"Cautín";"Temuco";"Las Encinas Temuco";-72.620705821348;-38.748716856527;2021;"mp2.5";26.0724233983287;359;98.3561643835616
"IX";"Cautín";"Temuco";"Las Encinas Temuco";-72.620705821348;-38.748716856527;2022;"mp2.5";25.5590778097983;347;95.0684931506849
"IX";"Cautín";"Temuco";"Museo Ferroviario";-72.5711409411702;-38.7252530174477;2015;"mp2.5";27.2768564738292;363;99.4520547945205
"IX";"Cautín";"Temuco";"Museo Ferroviario";-72.5711409411702;-38.7252530174477;2016;"mp2.5";36.4910686388889;360;98.6301369863014
"IX";"Cautín";"Temuco";"Ñielol";-72.579894727054;-38.726930315475;2018;"mp2.5";21.6573816155989;359;98.3561643835616
"IX";"Cautín";"Temuco";"Ñielol";-72.579894727054;-38.726930315475;2019;"mp2.5";16.5677966101695;354;96.986301369863
"IX";"Cautín";"Temuco";"Ñielol";-72.579894727054;-38.726930315475;2020;"mp2.5";18.2069970845481;343;93.972602739726
"IX";"Cautín";"Temuco";"Ñielol";-72.579894727054;-38.726930315475;2021;"mp2.5";19.191135734072;361;98.9041095890411
"IX";"Cautín";"Temuco";"Ñielol";-72.579894727054;-38.726930315475;2022;"mp2.5";17;360;98.6301369863014
"M";"Cordillera";"Puente Alto";"Puente Alto";-70.594430678157;-33.5913562403892;2015;"mp2.5";28.4923835854342;357;97.8082191780822
"M";"Cordillera";"Puente Alto";"Puente Alto";-70.594430678157;-33.5913562403892;2016;"mp2.5";26.08864;354;96.986301369863
"M";"Cordillera";"Puente Alto";"Puente Alto";-70.594430678157;-33.5913562403892;2017;"mp2.5";23.6081865527066;351;96.1643835616438
"M";"Cordillera";"Puente Alto";"Puente Alto";-70.594430678157;-33.5913562403892;2018;"mp2.5";21.5710059171598;338;92.6027397260274
"M";"Cordillera";"Puente Alto";"Puente Alto";-70.594430678157;-33.5913562403892;2019;"mp2.5";21.3871866295265;359;98.3561643835616
"M";"Cordillera";"Puente Alto";"Puente Alto";-70.594430678157;-33.5913562403892;2020;"mp2.5";21.8836565096953;361;98.9041095890411
"M";"Cordillera";"Puente Alto";"Puente Alto";-70.594430678157;-33.5913562403892;2021;"mp2.5";22.3603351955307;358;98.0821917808219
"M";"Cordillera";"Puente Alto";"Puente Alto";-70.594430678157;-33.5913562403892;2022;"mp2.5";21.6723163841808;354;96.986301369863
"M";"Santiago";"Cerrillos";"Cerrillos I";-70.7193286606829;-33.4928842335523;2015;"mp2.5";33.7528634185304;313;85.7534246575343
"M";"Santiago";"Cerrillos";"Cerrillos I";-70.7193286606829;-33.4928842335523;2016;"mp2.5";31.2805710140845;355;97.2602739726027
"M";"Santiago";"Cerro Navia";"Cerro Navia";-70.7320550936643;-33.433070402768;2015;"mp2.5";34.1057614285714;336;92.0547945205479
"M";"Santiago";"Cerro Navia";"Cerro Navia";-70.7320550936643;-33.433070402768;2016;"mp2.5";33.3757170655271;351;96.1643835616438
