"var","param","est","se","mean_MR","N","bic","mean_pm25","mean_temp"
"Full Sample","(Intercept)",-5.31394303796049,0.0172390342122975,3.22330345244323,71712,355199.566087675,22.1754673685362,24.2744471955361
"Full Sample","pm25Exp_10ug",0.0170192468067822,0.00300725583422801,3.22330345244323,71712,355199.566087675,22.1754673685362,24.2744471955361
"Full Sample","landTemp",-0.0119585305850557,0.000332116557262167,3.22330345244323,71712,355199.566087675,22.1754673685362,24.2744471955361
"Full Sample","year_quarter2002-2",-0.0499977942265585,0.0129515807002233,3.22330345244323,71712,355199.566087675,22.1754673685362,24.2744471955361
"Full Sample","year_quarter2002-3",0.0564532050597566,0.0134179773002328,3.22330345244323,71712,355199.566087675,22.1754673685362,24.2744471955361
"Full Sample","year_quarter2002-4",0.0825536535397891,0.0144140121658191,3.22330345244323,71712,355199.566087675,22.1754673685362,24.2744471955361
"Full Sample","year_quarter2003-1",0.00439967563580465,0.0138521811427694,3.22330345244323,71712,355199.566087675,22.1754673685362,24.2744471955361
"Full Sample","year_quarter2003-2",-0.0413042165773647,0.01251986989642,3.22330345244323,71712,355199.566087675,22.1754673685362,24.2744471955361
"Full Sample","year_quarter2003-3",0.0941564498241382,0.0128885292533176,3.22330345244323,71712,355199.566087675,22.1754673685362,24.2744471955361
"Full Sample","year_quarter2003-4",0.0725613091391221,0.0125627101756584,3.22330345244323,71712,355199.566087675,22.1754673685362,24.2744471955361
"Full Sample","year_quarter2004-1",0.00980110466048465,0.0133274164746017,3.22330345244323,71712,355199.566087675,22.1754673685362,24.2744471955361
"Full Sample","year_quarter2004-2",0.0511514048180389,0.0230937216449989,3.22330345244323,71712,355199.566087675,22.1754673685362,24.2744471955361
"Full Sample","year_quarter2004-3",0.0689728120532507,0.0227099076489158,3.22330345244323,71712,355199.566087675,22.1754673685362,24.2744471955361
"Full Sample","year_quarter2004-4",0.0505287273787641,0.021948311526207,3.22330345244323,71712,355199.566087675,22.1754673685362,24.2744471955361
"Full Sample","year_quarter2005-1",-0.00680560795181682,0.0135846312303992,3.22330345244323,71712,355199.566087675,22.1754673685362,24.2744471955361
"Full Sample","year_quarter2005-2",-0.0121636650391987,0.0137006755610756,3.22330345244323,71712,355199.566087675,22.1754673685362,24.2744471955361
"Full Sample","year_quarter2005-3",0.0560943315389296,0.0146729864827232,3.22330345244323,71712,355199.566087675,22.1754673685362,24.2744471955361
"Full Sample","year_quarter2005-4",0.0501435809040579,0.0143792037585483,3.22330345244323,71712,355199.566087675,22.1754673685362,24.2744471955361
"Full Sample","year_quarter2006-1",-0.0319525332819819,0.0148839400175842,3.22330345244323,71712,355199.566087675,22.1754673685362,24.2744471955361
"Full Sample","year_quarter2006-2",-0.0967303531588715,0.0152837997549094,3.22330345244323,71712,355199.566087675,22.1754673685362,24.2744471955361
"Full Sample","year_quarter2006-3",0.021670434277368,0.0149069441396263,3.22330345244323,71712,355199.566087675,22.1754673685362,24.2744471955361
"Full Sample","year_quarter2006-4",0.0525952849250836,0.0145324644836967,3.22330345244323,71712,355199.566087675,22.1754673685362,24.2744471955361
"Full Sample","year_quarter2007-1",-0.0381862958522009,0.0159460846261187,3.22330345244323,71712,355199.566087675,22.1754673685362,24.2744471955361
"Full Sample","year_quarter2007-2",0.00965711770885652,0.0156716495807665,3.22330345244323,71712,355199.566087675,22.1754673685362,24.2744471955361
"Full Sample","year_quarter2007-3",0.103174611685023,0.014909995535958,3.22330345244323,71712,355199.566087675,22.1754673685362,24.2744471955361
"Full Sample","year_quarter2007-4",0.0762484909716509,0.0153991358942672,3.22330345244323,71712,355199.566087675,22.1754673685362,24.2744471955361
