"name","param","est","se","N","bic","rr","rr_low","rr_high"
"Year+Quarter","(Intercept)",-4.9393608364048,0.0199371518888115,70632,327271.662046762,-99.2840827207122,-99.3115189385193,-99.2555531597622
"Year+Quarter","pm25Exp_10ug",0.0163366991629456,0.0033505250892635,70632,327271.662046762,1.64708726877689,0.981754900754254,2.31680327184702
"Year+Quarter","landTemp",-0.0130163479742228,0.000398425313347419,70632,327271.662046762,-1.29320016738059,-1.37025156202296,-1.21608857875508
"Year+Quarter","year2003",0.00666403439406893,0.00795690869722739,70632,327271.662046762,0.668628847780013,-0.889173922935726,2.25091682932994
"Year+Quarter","year2004",0.0059188244557786,0.0156562262671494,70632,327271.662046762,0.593637530696441,-2.44631840414851,3.7283242018357
"Year+Quarter","year2005",-0.0290143209841519,0.0101656500986088,70632,327271.662046762,-2.85974470735741,-4.77607808887696,-0.904846083455226
"Year+Quarter","year2006",-0.0788221485116275,0.0107525758519558,70632,327271.662046762,-7.57957190639451,-9.50695573456321,-5.61113731624468
"Year+Quarter","year2007",-0.0224613270083105,0.0117658688203403,70632,327271.662046762,-2.22109495100213,-4.45018293931675,0.0599955781074328
"Year+Quarter","year2008",-0.103672094969445,0.0122769715648358,70632,327271.662046762,-9.84791378141693,-11.9913392937913,-7.65228575976415
"Year+Quarter","year2009",-0.105480181161205,0.0125244595468441,70632,327271.662046762,-10.0107692509373,-12.1929262420433,-7.77438190081769
"Year+Quarter","year2010",-0.0514469322132248,0.0120328467456707,70632,327271.662046762,-5.01459447227886,-7.2285562567382,-2.74779717523859
"Year+Quarter","year2011",-0.125537143535304,0.0121181101872438,70632,327271.662046762,-11.797699763394,-13.8679532095166,-9.6776861003616
"Year+Quarter","year2012",-0.0826242956298788,0.0118243874670613,70632,327271.662046762,-7.93030078681643,-10.0395534525958,-5.77159364433267
"Year+Quarter","year2013",-0.11720228710068,0.0116699377300272,70632,327271.662046762,-11.0594740246404,-13.0707281360538,-9.00168618512896
"Year+Quarter","year2014",-0.121894240749996,0.0120098959797081,70632,327271.662046762,-11.4758013919403,-13.5352731131071,-9.36727586671948
"Year+Quarter","year2015",-0.136134037071999,0.012057806341767,70632,327271.662046762,-12.7274352941688,-14.7657926065231,-10.64033111527
"Year+Quarter","year2016",-0.147428023119852,0.0119483199259215,70632,327271.662046762,-13.7075453297161,-15.7049237512884,-11.6628388702973
"Year+Quarter","year2017",-0.137937191700949,0.0117985273486069,70632,327271.662046762,-12.884659430884,-14.8760967252015,-10.8466333131617
"Year+Quarter","year2018",-0.16864215830624,0.0115486670408533,70632,327271.662046762,-15.5188842041164,-17.4096669585271,-13.5848147926271
"Year+Quarter","year2019",-0.169579849240271,0.0121770527835182,70632,327271.662046762,-15.598064251487,-17.5886382033163,-13.5594097368407
"Year+Quarter","quarter2",-0.0325749859049404,0.00648250145121174,70632,327271.662046762,-3.20501354866252,-4.42708182482559,-1.96731897479799
"Year+Quarter","quarter3",0.0856386888591778,0.00656556165825257,70632,327271.662046762,8.94126402635939,7.54833495426375,10.3522338370747
"Year+Quarter","quarter4",0.0911282325455409,0.00435403256002144,70632,327271.662046762,9.54094633965217,8.61011191441325,10.4797584081504
"Year+Quarter","commune1101",0.23323501187392,0.00309365298078389,70632,327271.662046762,26.2678188828082,25.5045029514847,27.035777286691
"Year+Quarter","commune1107",0.00669217919796503,0.00333504453606772,70632,327271.662046762,0.671462186469114,0.015550399676556,1.3316755070765
"Year+Quarter","commune1401",-0.193283129874727,0.00557895392786563,70632,327271.662046762,-17.5751428295784,-18.4715282052011,-16.6689019185343
"Year+Quarter","commune1403",-1.07017853873597,0.00325568093617501,70632,327271.662046762,-65.7052717421862,-65.9234142817999,-65.4857327549361
"Year+Quarter","commune1404",-0.462446149772309,0.00503321281266498,70632,327271.662046762,-37.0258681688073,-37.6440598210425,-36.4015478154764
"Year+Quarter","commune1405",-0.245224707201455,0.00373728889580146,70632,327271.662046762,-21.7471321345288,-22.3182468538707,-21.1718185910174
"Year+Quarter","commune2101",0.293951034747126,0.00422406883661273,70632,327271.662046762,34.1718204487328,33.0655741999732,35.2872635222177
"Year+Quarter","commune2102",0.267927413615395,0.00370195870543359,70632,327271.662046762,30.7252247856599,29.780136443991,31.6771954746436
"Year+Quarter","commune2104",0.195850943081225,0.00406680121865011,70632,327271.662046762,21.6345587095905,20.668871933272,22.6079736674609
"Year+Quarter","commune2201",0.292074865191502,0.00505050544672683,70632,327271.662046762,33.9203273595944,32.6011911182977,35.2525865631243
"Year+Quarter","commune2203",-0.55746713541355,0.00407595352091117,70632,327271.662046762,-42.7342307125786,-43.1898968838186,-42.2749097044658
"Year+Quarter","commune2301",0.304039059777497,0.00373880662214983,70632,327271.662046762,35.5321993631308,34.5426413405972,36.5290355620864
"Year+Quarter","commune2302",-0.225836334597348,0.00549657831638165,70632,327271.662046762,-20.2151328795447,-21.0700651827094,-19.3509403477394
"Year+Quarter","commune3101",0.245163975329421,0.00424440575026628,70632,327271.662046762,27.7830828757816,26.7244603666339,28.8505488364115
"Year+Quarter","commune3102",-0.12895478077687,0.00358096838188197,70632,327271.662046762,-12.0986287035876,-12.7134218374963,-11.4795053438246
"Year+Quarter","commune3103",0.145012455251785,0.00380343585888035,70632,327271.662046762,15.6053969121613,14.7467937021103,16.4704246979981
"Year+Quarter","commune3201",0.149182324703967,0.00337393954722299,70632,327271.662046762,16.0884627861136,15.3233116238692,16.8586906001889
"Year+Quarter","commune3202",0.340931372614607,0.00431153956154579,70632,327271.662046762,40.6256729827998,39.4423063357995,41.8190821818636
