"name","param","est","se","N","bic","rr","rr_low","rr_high"
"Above 4.5 pop","(Intercept)",-6.03171088468962,0.0311019928304345,35208,155971.008722342,-99.7598618025614,-99.7740633445573,-99.7447676041938
"Above 4.5 pop","pm25Exp_10ug",0.0230786909019357,0.00353088920343669,35208,155971.008722342,2.33470644823835,1.62893968974241,3.04537443584204
"Above 4.5 pop","landTemp",-0.0130269070346522,0.000628844692657067,35208,155971.008722342,-1.29424241294225,-1.41582582952074,-1.17250904808543
"Above 4.5 pop","year_quarter2002-2",-0.0536889518557181,0.0227865585413462,35208,155971.008722342,-5.22731506624116,-9.36689176142875,-0.898667340076301
"Above 4.5 pop","year_quarter2002-3",0.0708492645573907,0.0231150379479652,35208,155971.008722342,7.34194113229991,2.58728284420397,12.3169656764248
"Above 4.5 pop","year_quarter2002-4",0.0862780732782125,0.0253653402535015,35208,155971.008722342,9.01094164618628,3.72386174370712,14.5675180119216
"Above 4.5 pop","year_quarter2003-1",0.0482349139180014,0.0255992835388281,35208,155971.008722342,4.94171490650366,-0.193780185103307,10.3414551512166
"Above 4.5 pop","year_quarter2003-2",-0.0639323045318916,0.0254115596260384,35208,155971.008722342,-6.1931499632404,-10.7509099946604,-1.40263488072948
"Above 4.5 pop","year_quarter2003-3",0.0929798410609392,0.0250157313920326,35208,155971.008722342,9.74396118268326,4.49290700183069,15.2588951885058
"Above 4.5 pop","year_quarter2003-4",0.108803769319981,0.0258037129056458,35208,155971.008722342,11.4943542744193,5.99571598007182,17.278240164035
"Above 4.5 pop","year_quarter2004-1",0.0183140291315885,0.0244523344157149,35208,155971.008722342,1.84827594330528,-2.91783909101758,6.84837683360526
"Above 4.5 pop","year_quarter2004-2",0.0567371167861256,0.0262828894378957,35208,155971.008722342,5.83775441310441,0.523631531588691,11.4328052870691
"Above 4.5 pop","year_quarter2004-3",0.0823703620274716,0.0264079261660688,35208,155971.008722342,8.5857895898118,3.10841554144834,14.3541352946413
"Above 4.5 pop","year_quarter2004-4",0.062037002507965,0.0288049055912079,35208,155971.008722342,6.40017147315588,0.559498131965015,12.5800814425341
"Above 4.5 pop","year_quarter2005-1",-0.0208024428951889,0.0234065055315943,35208,155971.008722342,-2.05875646567902,-6.45047340568844,2.53913124165888
"Above 4.5 pop","year_quarter2005-2",-0.029879681836223,0.0239149963681227,35208,155971.008722342,-2.94376972022596,-7.38814925510188,1.71389255644974
"Above 4.5 pop","year_quarter2005-3",0.0551038163419546,0.0265685110611619,35208,155971.008722342,5.66503065510425,0.303412833994244,11.3132483520053
"Above 4.5 pop","year_quarter2005-4",0.0750516569360021,0.025440552274089,35208,155971.008722342,7.79398325153903,2.55080768169822,13.3052297481492
